ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Estimated_Shipping_Cost,Recommended_Carrier
27,0,2,4,1,172,3,0,0,24,1066,1,51.300000000000004,Local Truck
28,1,2,5,1,162,3,2,1,31,1435,1,66.25,Local Truck
29,2,2,2,3,234,4,1,1,44,3134,1,144.70000000000002,Local Truck
30,4,2,5,4,183,2,1,0,36,3819,1,182.95000000000002,Local Truck
31,3,2,3,4,266,2,2,0,38,2741,1,128.05,Local Truck
32,4,2,5,3,257,2,1,0,61,3341,1,146.55,Local Truck
33,0,2,3,1,223,3,1,0,22,3795,1,188.75,Local Truck
34,1,2,4,2,234,3,2,1,4,3261,1,171.05,Local Truck
35,2,2,4,2,227,4,2,0,22,2460,1,122.0,Local Truck
36,4,2,5,4,149,3,2,0,44,1811,1,78.55000000000001,Local Truck
37,3,2,3,5,137,4,0,0,62,1477,1,52.85000000000001,Local Truck
38,4,2,2,4,181,6,2,0,16,3605,1,182.25,Local Truck
39,0,2,5,1,215,4,1,0,56,3905,1,177.25,Local Truck
40,1,2,4,2,269,5,1,0,45,2383,1,106.65,Local Truck
41,2,2,5,1,227,2,1,1,15,3798,1,192.4,Local Truck
42,4,2,5,5,139,4,2,1,61,1265,1,42.75,Local Truck
43,3,2,3,5,137,2,2,1,38,1647,1,73.35000000000001,Local Truck
44,4,2,3,1,174,2,1,1,44,1556,1,65.80000000000001,Local Truck
45,0,2,3,1,151,2,1,1,29,1328,1,61.900000000000006,Local Truck
46,1,2,5,1,210,3,1,0,9,2944,1,152.70000000000002,Local Truck
47,2,2,3,4,169,4,2,0,32,1245,1,56.25,Local Truck
48,4,2,5,1,160,2,1,1,32,1576,1,72.80000000000001,Local Truck
49,3,2,5,4,190,2,2,1,9,3753,1,193.15,Local Truck
50,4,2,5,3,216,3,1,0,40,2146,1,97.30000000000001,Local Truck
51,0,2,4,1,183,3,1,1,37,2042,1,93.60000000000001,Local Truck
52,1,2,4,4,141,3,1,1,22,1735,1,85.75,Local Truck
53,2,2,4,3,165,3,1,0,44,1320,1,54.0,Local Truck
54,4,2,2,1,170,3,1,1,41,1128,1,45.900000000000006,Local Truck
55,3,2,4,3,203,3,0,1,12,3539,1,180.95000000000002,Local Truck
56,4,2,2,5,246,5,1,1,46,2437,1,108.85000000000002,Local Truck
57,0,2,3,3,238,3,1,0,61,3096,1,134.3,Local Truck
58,1,2,3,3,193,3,2,0,29,3453,1,168.15,Local Truck
59,2,2,5,5,141,3,0,1,41,1367,1,57.85000000000001,Local Truck
60,4,2,4,1,150,3,0,0,17,1923,1,97.65,Local Truck
61,3,2,3,1,221,3,1,0,64,2794,1,117.70000000000002,Local Truck
62,4,2,3,3,179,3,2,1,52,1158,1,41.900000000000006,Local Truck
63,0,2,5,1,105,6,2,1,62,1292,1,43.60000000000001,Local Truck
64,1,2,3,1,177,3,2,1,61,1880,1,73.5,Local Truck
65,2,2,4,5,261,2,0,1,49,3045,1,137.75,Local Truck
66,4,2,3,2,202,3,1,1,49,2881,1,129.55,Local Truck
67,3,2,3,2,109,3,2,0,15,1710,1,88.0,Local Truck
68,4,2,3,3,158,3,1,0,6,1878,1,100.9,Local Truck
69,0,2,4,2,231,4,2,0,6,2512,1,132.60000000000002,Local Truck
70,1,2,3,5,206,3,2,1,39,2929,1,136.95000000000002,Local Truck
71,2,2,5,1,187,4,0,1,14,3849,1,195.45000000000002,Local Truck
72,4,2,5,5,230,2,1,0,2,2229,1,120.45,Local Truck
73,3,2,5,5,232,3,2,0,33,2998,1,143.4,Local Truck
74,4,2,4,5,215,3,2,0,21,3984,1,198.70000000000002,Local Truck
75,0,2,6,1,238,6,1,0,13,2442,1,125.60000000000002,Local Truck
76,1,2,4,1,266,3,1,0,23,3775,1,187.25,Local Truck
77,2,2,2,3,158,2,2,0,36,1788,1,81.4,Local Truck
78,4,2,3,3,113,3,1,0,43,1518,1,64.4,Local Truck
79,3,2,3,4,223,3,1,1,18,3959,1,198.95000000000002,Local Truck
80,4,2,3,5,257,2,2,0,56,3711,1,167.55,Local Truck
81,0,2,3,4,180,2,2,0,49,1942,1,82.60000000000001,Local Truck
82,1,2,2,5,132,3,1,1,18,1759,1,88.95,Local Truck
83,2,2,4,4,217,3,0,0,26,2875,1,140.75,Local Truck
84,4,2,5,5,162,3,0,0,31,1364,1,62.7,Local Truck
85,3,2,4,5,197,2,2,0,40,2710,1,125.5,Local Truck
86,4,2,3,4,197,3,2,1,13,2148,1,110.9,Local Truck
87,0,2,4,1,185,2,1,1,44,2910,1,133.5,Local Truck
88,1,2,6,2,278,3,2,0,3,2974,1,157.20000000000002,Local Truck
89,2,2,3,3,229,3,1,1,49,2339,1,102.45,Local Truck
90,4,2,4,1,186,4,2,0,57,3880,1,175.5,Local Truck
91,3,2,5,3,174,6,0,0,41,1085,1,43.75,Local Truck
92,4,2,5,5,286,3,1,0,18,3163,1,159.15,Local Truck
93,0,2,4,4,175,2,2,0,7,1188,1,65.9,Local Truck
94,1,2,3,3,219,3,2,0,17,3387,1,170.85000000000002,Local Truck
95,2,2,4,1,213,4,0,0,35,2343,1,109.65,Local Truck
96,4,2,2,3,235,3,1,1,57,2034,1,83.2,Local Truck
97,3,2,3,3,149,2,2,1,18,1225,1,62.25,Local Truck
98,4,2,4,1,271,2,2,0,8,2401,1,126.05000000000001,Local Truck
99,0,2,3,5,144,4,2,1,5,1104,1,62.7,Local Truck
100,1,2,4,2,145,2,2,1,21,1617,1,80.35000000000001,Local Truck
101,2,2,5,3,143,2,2,1,59,1837,1,72.35000000000001,Local Truck
102,4,2,5,5,227,4,1,1,53,2624,1,114.70000000000002,Local Truck
103,3,2,2,1,213,3,1,1,29,2732,1,132.1,Local Truck
104,4,2,5,1,144,4,1,1,37,1658,1,74.4,Local Truck
105,0,2,3,3,218,3,1,1,3,2255,1,121.25,Local Truck
106,1,2,4,2,144,3,2,1,59,1588,1,59.900000000000006,Local Truck
107,2,2,3,1,238,3,1,1,17,2624,1,132.70000000000002,Local Truck
108,4,2,4,5,216,3,0,1,26,2053,1,99.65,Local Truck
109,3,2,4,5,238,3,0,0,55,3257,1,145.35000000000002,Local Truck
110,4,2,4,1,141,3,2,1,47,1250,1,49.0,Local Truck
111,0,1,3,1,158,2,1,1,2,1284,1,73.2,Maersk
112,1,1,4,2,239,3,1,0,65,3679,1,161.45000000000002,Maersk
113,2,1,4,3,175,2,1,1,25,1816,1,88.30000000000001,Maersk
114,4,1,3,2,263,3,1,1,41,2817,1,130.35,Maersk
115,3,1,3,5,168,2,0,1,50,1616,1,65.80000000000001,Maersk
116,4,1,3,4,176,3,0,1,36,1779,1,80.95,Maersk
117,0,1,4,1,150,4,0,1,60,1024,1,31.200000000000003,Maersk
118,1,1,4,3,265,2,2,0,31,2326,1,110.80000000000001,Maersk
119,2,1,2,5,263,3,1,0,5,2947,1,154.85,Maersk
120,4,1,5,1,145,3,1,1,20,1387,1,69.35000000000001,Maersk
121,3,1,4,2,183,3,1,0,33,2741,1,130.55,Maersk
122,4,1,3,3,205,3,2,0,19,2167,1,108.85000000000001,Maersk
123,0,1,4,2,160,3,1,1,64,1714,1,63.7,Maersk
124,1,1,3,3,252,2,2,0,48,2102,1,91.10000000000001,Maersk
125,2,1,5,5,222,3,1,1,10,2280,1,119.0,Maersk
126,4,1,3,3,203,2,1,1,25,3607,1,177.85000000000002,Maersk
127,3,1,4,5,220,3,2,1,40,3516,1,165.8,Maersk
128,4,1,3,3,147,4,1,0,60,1722,1,66.10000000000001,Maersk
129,0,1,4,4,200,4,2,1,16,2060,1,105.0,Maersk
130,1,1,4,5,224,4,2,1,21,2026,1,100.80000000000001,Maersk
131,2,1,3,5,179,2,1,0,17,1364,1,69.7,Maersk
132,4,1,3,4,144,3,1,1,50,1865,1,78.25,Maersk
133,3,0,5,2,247,3,1,1,17,3889,1,235.95000000000002,FedEx
134,4,0,5,4,280,6,2,0,51,3582,1,203.60000000000002,FedEx
135,0,0,3,3,168,2,2,0,1,1829,1,140.95,FedEx
136,1,0,3,5,157,3,2,0,4,1889,1,142.45,FedEx
137,2,0,3,3,189,4,2,0,51,2208,1,134.9,FedEx
138,4,0,3,5,162,2,2,1,7,1739,1,133.45,FedEx
139,3,0,4,1,207,5,1,1,48,2399,1,145.95,FedEx
140,4,0,5,1,237,2,1,0,10,3860,1,238.0,FedEx
141,0,0,4,4,264,3,0,1,59,2020,1,121.5,FedEx
142,1,0,5,4,149,3,1,1,51,1645,1,106.75,FedEx
143,2,0,5,5,162,3,1,1,41,1462,1,102.60000000000001,FedEx
144,4,0,2,1,205,4,2,0,63,2156,1,126.30000000000001,FedEx
145,3,0,2,1,158,3,2,0,51,1540,1,101.5,FedEx
146,4,0,2,2,248,2,1,1,46,3707,1,212.35000000000002,FedEx
147,0,0,3,5,191,3,1,1,23,3750,1,226.0,FedEx
148,1,0,4,3,146,4,2,0,24,1844,1,130.2,FedEx
149,2,0,3,3,135,3,1,1,56,1490,1,96.5,FedEx
150,4,0,5,1,149,3,1,1,40,1062,1,83.1,FedEx
151,3,0,4,4,220,2,2,0,7,2551,1,174.05,FedEx
152,4,0,5,3,98,5,2,1,44,1269,1,91.45,FedEx
153,0,0,3,4,97,4,1,1,32,1238,1,95.9,FedEx
154,1,0,3,3,183,2,1,1,53,3932,1,220.10000000000002,FedEx
155,2,2,3,3,162,3,2,0,8,1869,1,99.45,Local Truck
156,4,2,5,1,114,4,1,0,47,1443,1,58.650000000000006,Local Truck
157,3,2,6,3,275,5,1,1,41,2491,1,114.05000000000001,Local Truck
158,4,2,3,2,203,2,2,0,39,3845,1,182.75,Local Truck
159,0,2,5,5,205,2,0,1,65,3671,1,161.05,Local Truck
160,1,2,3,3,149,3,1,0,63,1946,1,75.80000000000001,Local Truck
161,2,2,2,2,112,4,2,1,56,1138,1,38.900000000000006,Local Truck
162,4,2,3,1,207,3,2,0,56,3482,1,156.10000000000002,Local Truck
163,3,2,4,1,261,4,1,0,58,3427,1,152.35000000000002,Local Truck
164,4,2,5,2,274,3,2,1,6,3375,1,175.75,Local Truck
165,0,2,3,5,141,2,1,1,52,1692,1,68.60000000000001,Local Truck
166,1,2,3,3,166,4,2,0,17,1498,1,76.4,Local Truck
167,2,2,5,2,141,3,0,0,34,1020,1,44.0,Local Truck
168,4,2,4,5,152,3,1,1,43,1709,1,73.95,Local Truck
169,3,2,4,2,250,3,1,0,53,2478,1,107.4,Local Truck
170,4,2,4,3,161,3,2,0,28,1809,1,86.45,Local Truck
171,0,2,4,3,185,3,2,0,10,2263,1,118.15,Local Truck
172,1,2,4,4,176,4,0,0,52,1096,1,38.80000000000001,Local Truck
173,2,2,3,4,148,3,1,1,56,1550,1,59.5,Local Truck
174,4,2,3,2,270,3,1,0,63,2751,1,116.05000000000001,Local Truck
175,3,2,3,3,242,3,1,0,51,3935,1,181.25,Local Truck
176,4,2,4,4,150,2,2,1,3,1285,1,72.75,Local Truck
177,0,2,4,5,192,3,0,1,20,3872,1,193.60000000000002,Local Truck
178,1,2,4,5,116,3,2,1,54,1314,1,48.7,Local Truck
179,2,2,3,3,192,3,2,0,2,3995,1,208.75,Local Truck
180,4,2,5,5,255,4,2,1,3,3440,1,180.5,Local Truck
181,3,2,4,1,161,7,2,0,18,1294,1,65.7,Local Truck
182,4,2,4,5,157,3,1,1,20,1487,1,74.35000000000001,Local Truck
183,0,2,3,2,164,10,0,0,28,1940,1,93.0,Local Truck
184,1,2,3,5,162,7,2,0,16,1052,1,54.6,Local Truck
185,2,2,3,3,146,2,1,1,50,1486,1,59.3,Local Truck
186,4,2,3,2,209,3,2,1,54,3001,1,133.05,Local Truck
187,3,2,5,4,134,2,2,0,55,1386,1,51.8,Local Truck
188,4,2,2,1,222,2,2,1,5,3778,1,196.4,Local Truck
189,0,2,2,5,139,3,1,0,27,1233,1,58.150000000000006,Local Truck
190,1,2,2,4,134,3,1,0,42,1415,1,59.75,Local Truck
191,2,2,2,5,130,3,1,1,16,1092,1,56.599999999999994,Local Truck
192,4,2,2,5,133,3,1,0,62,1596,1,58.80000000000001,Local Truck
193,3,2,2,4,140,3,1,0,7,1411,1,77.05,Local Truck
194,4,2,2,2,158,3,1,1,28,1968,1,94.4,Local Truck
195,0,2,4,2,270,4,1,0,46,1736,1,73.80000000000001,Local Truck
196,1,2,2,5,140,3,1,0,30,1030,1,46.5,Local Truck
197,2,2,2,2,135,3,1,1,15,1339,1,69.45,Local Truck
198,4,2,2,3,136,3,1,0,19,1568,1,78.9,Local Truck
199,3,2,2,3,142,3,2,0,38,7640,1,373.0,Local Truck
200,4,2,2,2,154,3,2,1,38,7846,1,383.3,Local Truck
201,0,2,2,3,139,3,1,1,9,1471,1,79.05,Local Truck
202,1,2,2,3,160,3,1,0,43,1251,1,51.05000000000001,Local Truck
203,2,2,2,4,134,3,1,1,58,1067,1,34.35,Local Truck
204,4,2,5,3,161,5,0,1,48,1883,1,80.15,Local Truck
205,3,2,2,5,155,3,1,1,23,1602,1,78.60000000000001,Local Truck
206,4,2,2,3,145,3,2,0,24,7588,1,377.40000000000003,Local Truck
207,0,2,2,2,157,3,1,1,1,1477,1,83.35000000000001,Local Truck
208,1,2,2,2,160,3,1,1,48,1691,1,70.55000000000001,Local Truck
209,2,2,2,4,152,3,1,1,55,1498,1,57.400000000000006,Local Truck
210,4,2,2,5,148,3,0,0,11,1502,1,79.60000000000001,Local Truck
211,3,2,2,1,127,3,1,0,15,1522,1,78.60000000000001,Local Truck
212,4,2,2,5,154,3,1,0,21,1113,1,55.150000000000006,Local Truck
213,0,2,2,5,127,3,1,1,44,1341,1,55.05,Local Truck
214,1,2,2,5,160,3,2,0,31,7401,1,364.55,Local Truck
215,2,2,2,4,129,3,1,0,48,1219,1,46.95,Local Truck
216,4,2,2,5,158,3,1,0,40,1722,1,76.10000000000001,Local Truck
217,3,2,4,3,185,3,2,1,3,3131,1,165.05,Local Truck
218,4,2,4,4,176,4,0,0,63,1293,1,43.150000000000006,Local Truck
219,0,2,3,4,148,3,1,1,37,1523,1,67.65,Local Truck
220,1,2,3,5,270,3,1,1,60,3885,1,174.25,Local Truck
221,2,2,3,4,242,3,1,1,29,2381,1,114.55000000000001,Local Truck
222,4,2,4,3,150,2,2,1,31,1588,1,73.9,Local Truck
223,3,2,4,2,192,3,0,1,4,2061,1,111.05000000000001,Local Truck
224,4,2,4,5,116,3,2,0,9,1314,1,71.2,Local Truck
225,0,2,3,4,192,3,2,0,31,3331,1,161.05,Local Truck
226,1,2,5,4,255,4,2,0,38,2771,1,129.55,Local Truck
227,2,2,4,3,161,7,2,1,63,1496,1,53.3,Local Truck
228,4,2,4,2,157,3,1,0,48,1393,1,55.650000000000006,Local Truck
229,3,2,3,2,164,10,0,1,14,1375,1,71.75,Local Truck
230,4,2,3,3,162,7,2,0,42,1278,1,52.900000000000006,Local Truck
231,0,2,3,1,146,2,1,0,54,1528,1,59.400000000000006,Local Truck
232,1,2,3,4,209,3,2,0,60,2240,1,92.0,Local Truck
233,2,2,5,5,134,2,2,1,53,1088,1,37.900000000000006,Local Truck
234,4,2,2,1,222,2,2,1,58,3626,1,162.3,Local Truck
235,3,2,2,1,139,3,1,0,39,1582,1,69.60000000000001,Local Truck
236,4,2,2,2,134,3,1,1,38,1352,1,58.60000000000001,Local Truck
237,0,2,2,3,130,3,1,0,48,1801,1,76.05000000000001,Local Truck
238,1,2,2,2,133,3,1,1,5,1268,1,70.9,Local Truck
239,2,2,2,3,140,3,1,0,23,1372,1,67.10000000000001,Local Truck
240,4,2,2,3,158,3,1,1,10,1515,1,80.75,Local Truck
241,3,2,4,5,270,4,1,1,65,1818,1,68.4,Local Truck
242,4,2,2,4,140,3,1,0,33,1278,1,57.400000000000006,Local Truck
243,0,2,2,2,135,3,1,1,58,1734,1,67.7,Local Truck
244,1,2,2,4,136,3,1,1,43,1958,1,86.4,Local Truck
245,2,2,2,1,142,3,2,0,8,6064,1,309.2,Local Truck
246,4,2,2,4,154,3,2,0,48,7684,1,370.20000000000005,Local Truck
247,3,2,2,3,139,3,1,0,3,1788,1,97.9,Local Truck
248,4,1,2,4,160,3,1,0,50,1030,1,36.5,Maersk
249,0,1,2,2,134,3,1,0,38,1530,1,67.5,Maersk
250,1,1,5,5,161,5,0,0,54,1511,1,58.55,Maersk
251,2,1,2,3,155,3,1,0,45,1639,1,69.45,Maersk
252,4,1,2,2,145,3,2,0,5,6102,1,312.6,Maersk
253,3,1,2,1,157,3,1,1,58,1930,1,77.5,Maersk
254,4,1,2,5,160,3,1,0,19,1399,1,70.45,Maersk
255,0,1,2,2,152,3,1,0,61,1800,1,69.5,Maersk
256,1,1,2,2,148,3,0,0,35,1349,1,59.95,Maersk
257,2,1,2,2,127,3,1,1,13,1128,1,59.900000000000006,Maersk
258,4,1,2,2,129,3,2,0,22,6614,1,329.70000000000005,Maersk
259,3,1,2,3,158,3,1,0,13,1245,1,65.75,Maersk
260,4,1,2,4,147,3,1,1,5,1920,1,103.5,Maersk
261,0,1,2,5,159,3,1,0,49,1621,1,66.55000000000001,Maersk
262,1,1,2,3,151,3,1,0,23,1930,1,95.0,Maersk
263,2,1,3,1,294,4,1,0,52,1089,1,38.45,Maersk
264,4,1,3,2,226,2,2,1,45,1446,1,59.8,Maersk
265,3,1,5,3,271,5,0,1,9,1813,1,96.15,Maersk
266,4,1,7,2,203,5,2,0,61,1856,1,72.30000000000001,Maersk
267,0,1,2,3,264,4,1,0,10,1648,1,87.4,Maersk
268,1,1,4,1,258,3,2,1,36,2211,1,102.55000000000001,Maersk
269,2,1,3,5,241,3,1,0,21,3078,1,153.4,Maersk
270,4,0,4,5,208,3,2,1,23,2056,1,141.3,FedEx
271,3,0,3,2,209,5,2,0,12,3054,1,196.70000000000002,FedEx
272,4,0,5,1,182,2,2,0,23,2707,1,173.85,FedEx
273,0,0,4,5,148,2,2,0,43,1087,1,82.85,FedEx
274,1,0,2,3,183,2,2,0,52,3199,1,183.95000000000002,FedEx
275,2,0,3,5,229,6,2,1,22,2717,1,174.85,FedEx
276,4,0,5,5,115,5,1,0,26,1692,1,121.60000000000002,FedEx
277,3,0,4,2,136,3,1,0,65,1962,1,115.60000000000002,FedEx
278,4,0,4,4,212,3,1,1,21,3307,1,204.85000000000002,FedEx
279,0,0,4,3,171,3,1,0,24,1304,1,103.2,FedEx
280,1,0,3,1,151,2,1,1,60,1925,1,116.25,FedEx
281,2,0,3,1,205,3,2,1,39,3062,1,183.6,FedEx
282,4,0,5,4,147,3,2,1,23,1132,1,95.1,FedEx
283,3,0,3,3,155,3,1,0,29,1712,1,121.10000000000002,FedEx
284,4,0,5,4,165,3,1,0,20,1150,1,97.5,FedEx
285,0,0,5,5,230,3,1,0,32,3249,1,196.45000000000002,FedEx
286,1,0,2,4,181,4,2,1,13,2309,1,158.95,FedEx
287,2,0,5,3,234,2,1,0,55,3308,1,187.9,FedEx
288,4,0,4,4,149,3,1,1,34,1977,1,131.85000000000002,FedEx
289,3,0,5,5,156,2,1,1,44,1561,1,106.05000000000001,FedEx
290,4,0,4,2,172,3,2,0,59,1858,1,113.4,FedEx
291,0,0,4,4,270,3,1,1,12,3279,1,207.95000000000002,FedEx
292,1,2,4,1,206,3,2,1,23,3807,1,188.85000000000002,Local Truck
293,2,2,4,3,211,4,2,1,40,3106,1,145.3,Local Truck
294,4,2,3,2,136,4,1,1,62,1090,1,33.5,Local Truck
295,3,2,5,1,186,2,0,0,52,3981,1,183.05,Local Truck
296,4,2,3,1,202,2,2,1,62,3398,1,148.9,Local Truck
297,0,2,4,2,183,3,2,0,12,3646,1,186.3,Local Truck
298,1,2,4,4,232,2,1,1,36,2861,1,135.05,Local Truck
299,2,2,4,2,147,4,2,1,52,1129,1,40.45,Local Truck
300,4,2,4,3,136,3,2,1,20,1531,1,76.55,Local Truck
301,3,2,5,3,127,3,1,0,43,1446,1,60.8,Local Truck
302,4,2,4,5,202,2,2,1,35,3695,1,177.25,Local Truck
303,0,2,3,4,241,2,1,1,57,3671,1,165.05,Local Truck
304,1,2,4,3,222,2,2,1,55,3833,1,174.15,Local Truck
305,2,2,3,2,183,4,2,0,12,2777,1,142.85,Local Truck
306,4,2,4,4,249,3,2,0,36,3769,1,180.45000000000002,Local Truck
307,3,2,3,1,243,4,0,1,59,3838,1,172.4,Local Truck
308,4,2,3,3,163,3,2,1,9,1257,1,68.35,Local Truck
309,0,2,4,2,165,2,0,1,11,1596,1,84.30000000000001,Local Truck
310,1,2,5,5,266,3,2,0,53,3089,1,137.95000000000002,Local Truck
311,2,2,3,4,193,2,2,1,48,3909,1,181.45000000000002,Local Truck
312,4,2,3,2,154,3,1,0,56,1136,1,38.80000000000001,Local Truck
313,3,2,3,3,140,3,2,1,51,1046,1,36.800000000000004,Local Truck
314,4,2,4,3,272,3,2,1,38,3705,1,176.25,Local Truck
315,0,2,4,2,143,6,2,1,20,1654,1,82.7,Local Truck
316,1,2,4,2,138,3,1,0,30,1805,1,85.25,Local Truck
317,2,2,4,2,238,2,0,1,17,3358,1,169.4,Local Truck
318,4,2,4,5,273,4,2,0,31,2373,1,113.15,Local Truck
319,3,2,3,1,200,2,2,1,27,2551,1,124.05000000000001,Local Truck
320,4,2,4,5,213,4,1,1,39,2381,1,109.55000000000001,Local Truck
321,0,2,3,4,224,2,2,0,15,2701,1,137.55,Local Truck
322,1,2,4,5,141,3,2,1,12,1672,1,87.60000000000001,Local Truck
323,2,2,3,3,150,3,1,1,46,1040,1,39.0,Local Truck
324,4,2,3,1,192,2,1,1,33,2818,1,134.4,Local Truck
325,3,2,5,1,279,4,2,0,24,3440,1,170.0,Local Truck
326,4,2,3,4,246,3,2,1,30,3748,1,182.4,Local Truck
327,0,2,3,4,173,3,2,1,52,1587,1,63.35000000000001,Local Truck
328,1,2,4,4,233,4,2,0,59,2358,1,98.4,Local Truck
329,2,2,5,1,274,2,2,1,24,2423,1,119.15,Local Truck
330,4,2,4,5,243,4,2,0,41,2782,1,128.6,Local Truck
331,3,2,3,4,197,3,2,0,56,3427,1,153.35000000000002,Local Truck
332,4,2,4,3,140,3,0,0,46,1072,1,40.6,Local Truck
333,0,2,3,5,215,3,2,0,22,2585,1,128.25,Local Truck
334,1,2,3,4,211,3,2,1,8,3710,1,191.5,Local Truck
335,2,2,4,2,220,5,1,1,33,2854,1,136.20000000000002,Local Truck
336,4,2,3,1,194,4,1,1,64,2026,1,79.30000000000001,Local Truck
337,3,2,5,1,262,3,2,0,58,3599,1,160.95000000000002,Local Truck
338,4,2,4,4,201,2,1,0,1,3147,1,166.85000000000002,Local Truck
339,0,2,3,5,261,3,2,1,15,2989,1,151.95000000000002,Local Truck
340,1,2,4,4,191,6,1,0,60,3425,1,151.25,Local Truck
341,2,2,2,5,255,5,2,0,53,3775,1,172.25,Local Truck
342,4,2,3,2,169,2,0,1,30,1698,1,79.9,Local Truck
343,3,2,4,5,162,2,2,1,64,1918,1,73.9,Local Truck
344,4,2,2,5,248,6,1,0,62,2750,1,116.5,Local Truck
345,0,2,5,3,197,4,1,0,2,2222,1,120.10000000000001,Local Truck
346,1,2,5,1,264,3,1,1,6,2882,1,151.1,Local Truck
347,2,2,5,5,260,2,2,0,55,2791,1,122.05000000000001,Local Truck
348,4,2,5,3,186,2,2,0,58,2259,1,93.95,Local Truck
349,3,2,4,5,233,4,1,0,44,2551,1,115.55000000000001,Local Truck
350,4,2,5,1,161,3,1,1,47,1954,1,84.2,Local Truck
351,0,2,4,5,188,3,1,0,13,2409,1,123.94999999999999,Local Truck
352,1,2,5,5,171,2,2,0,22,1695,1,83.75,Local Truck
353,2,2,2,2,267,3,2,1,15,2481,1,126.55000000000001,Local Truck
354,4,2,4,3,255,2,0,1,47,2956,1,134.3,Local Truck
355,3,2,3,2,132,3,1,0,56,1303,1,47.150000000000006,Local Truck
356,4,2,5,1,266,3,1,0,31,3157,1,152.35000000000002,Local Truck
357,0,2,3,4,198,2,1,1,25,2774,1,136.20000000000002,Local Truck
358,1,2,2,3,247,2,2,0,62,3127,1,135.35000000000002,Local Truck
359,2,2,3,1,140,3,2,0,65,1291,1,42.05,Local Truck
360,4,2,4,3,131,5,1,1,6,1659,1,89.95,Local Truck
361,3,2,5,2,246,3,2,1,49,3236,1,147.3,Local Truck
362,4,2,3,2,159,3,2,0,4,1681,1,92.05000000000001,Local Truck
363,0,2,3,5,203,2,2,1,61,3642,1,161.60000000000002,Local Truck
364,1,2,4,3,187,4,0,0,29,3141,1,152.55,Local Truck
365,2,2,6,2,146,3,1,0,62,1936,1,75.80000000000001,Local Truck
366,4,2,3,2,234,3,2,1,39,2099,1,95.45,Local Truck
367,3,2,3,4,122,3,0,0,15,1354,1,70.2,Local Truck
368,4,2,3,3,135,3,1,1,8,1074,1,59.7,Local Truck
369,0,2,3,5,103,3,1,1,3,1403,1,78.65,Local Truck
370,1,2,3,5,257,3,2,0,19,2173,1,109.15,Local Truck
371,2,2,4,3,169,2,1,1,2,1399,1,78.95,Local Truck
372,4,2,4,5,159,3,2,1,18,1808,1,91.4,Local Truck
373,3,2,4,5,188,3,1,1,38,3031,1,142.55,Local Truck
374,4,2,5,1,136,3,2,1,19,1420,1,71.5,Local Truck
375,0,2,5,1,227,3,1,0,19,3007,1,150.85,Local Truck
376,1,2,3,5,262,2,1,0,53,3275,1,147.25,Local Truck
377,2,2,2,3,157,2,1,1,45,1965,1,85.75,Local Truck
378,4,2,5,3,238,2,2,0,21,2053,1,102.15,Local Truck
379,3,2,3,5,152,3,1,1,43,1282,1,52.60000000000001,Local Truck
